Headline,Stance,Body ID
EU Leaders Set to Hold Video Conference on Virus on Tuesday,unrelated,141
Weâ€™re Reading the Coronavirus Numbers Wrong,unrelated,142
Colombia Cancels Classes to Halt the Spread of Coronavirus,unrelated,143
Fifth UK Patient Has Died From Coronavirus,unrelated,144
Busiest U.S. Port for China Trade Says Coronavirus Hits Volume,unrelated,145
It Took Me 3 E.R. Visits to Get a Coronavirus Test in New York,unrelated,146
Abu Dhabi's Etihad Confident Demand for Flights to China Will Pick Up by Summer,unrelated,147
Samoa Faces Coronavirus Threat After Recovering From Deadly Measles Outbreak,unrelated,148
New Coronavirus Can Persist in Air for Hours and on Surfaces for Days: Study,discuss,149
"UK Interest Rates Cut, Funds Freed Up to Ease Virus Impact",agree,150
EU and UK Call Off Face-To-Face Trade Talks Because of Virus,discuss,151
Imported Coronavirus Infections Top New Local Cases in China for Fourth Day,discuss,152
Alex Jones Is Told to Stop Selling Sham Anti-Coronavirus Toothpaste,discuss,153
"CDC Reports 1,264 Coronavirus Cases, Death Tally of 36",discuss,154
Coachella Festival Postponed as Concerts Grapple With Virus,disagree,155
Vatican Confirms 1st Virus Case as Pope Recovers From Cold,disagree,156
Indian Wells Tennis Postponed After Coronavirus Confirmed,discuss,157
Asian Stocks Plunge After Fall in Oil Prices,disagree,158
Politics in Time of Coronavirus: Arizona Quietly Picks Biden,discuss,159
Louisiana Governor Moves Primary Because of Coronavirus,agree,160
Louisiana Governor postponed Primary Because of Coronavirus,discuss,161
Couple Tests Positive for Coronavirus After Returning From Vacation in Hawaii,disagree,162
California County Says Tesla Factory Cannot Operate Normally in Coronavirus Shutdown,disagree,163
"Skiing Finals, Italian Cycling Races Canceled Due to Virus",discuss,164
Canada's Trudeau to Be in Isolation After Wife Tests Positive for Coronavirus,disagree,165
Boston Marathon Postponed Until Sept. 14 Amid Virus Concerns,discuss,166
California County Says Tesla Factory Cannot Operate Normally in Coronavirus Shutdown,unrelated,167
Silver Says NBA Will Consider Many Ideas if Play Can Resume,unrelated,168
"Erdogan Advises Turks to Stay Home, Acts to Boost Economy Against Coronavirus",unrelated,169
Swooning Stocks Signal Higher Likelihood of Trump Losing Election: Moody's Analytics,agree,170
U.S. House Leaders Unveil Coronavirus Bill; Capitol Tours Suspended,discuss,171
"Exclusive: IOC Is Endangering Our Health, Champion Says, Demanding a Tokyo 2020 'Plan B'",discuss,172
Trump Says He Will Invoke Wartime Act to Fight 'Enemy' Coronavirus,discuss,173
How to Quarantine Yourself,discuss,174
The Most Moisturizing Creams for Diligent Hand Washers,discuss,175
U.S. Coronavirus Threat Fuels Demand for Traditional Herbal Remedies,discuss,176
"What's Happening: Millions Stocked Up, Slowing Down",agree,177
"No. 5 UConn Beats Cincy 87-53, Finishes Perfect Run in AAC",discuss,178
"Overcrowded and Unsanitary, Venezuela's Prisons Brace for Coronavirus",disagree,179
Iran Asks for Billions in Loans as Virus Death Toll Climbs,disagree,180
US Ban on European Visitors Escalates Travel Industry Pain,disagree,181
Right Now Is Strange'-NASCAR and IndyCar Call Off Racing,discuss,182
Virus Forces French Open Delay; US Open Switch 'Possibility',discuss,183
China Bought the West Time. The West Squandered It.,unrelated,184
Tuesday briefing: What will a third winter with the coronavirus bring?,discuss,185
"Coronavirus (Covid-19) Infection Survey, Northern Ireland: Weekly Report",agree,186
Masks may be mandatory in some settings if Covid spikes this winter,discuss,187
China is caught in a zero-Covid trap of its own making,discuss,188
India vaccine maker destroys 100 million doses of expired Covid jab,discuss,189
Covid infections rise by 14% in UK and now top a million,discuss,190
Fourth coronavirus vaccine doses will not be offered to all those aged 70 or over,agree,191
"Fourth dose of COVID-19 vaccine is not recommended to those aged 80 and above, and to seniors living in care homes",agree,192
Modelling predicts low-COVID Christmas - but another peak in January,agree,193
Scientists have their eyes on several ‘Deltacrons’—new COVID variants with the potential to attack the lungs like Delta and spread as easily as Omicron,agree,194
Fourth coronavirus vaccine doses will be offered to people aged 18 who belong to medical risk groups and to all aged 60.,unrelated,195
"When visiting elderly people or those in risk groups, please follow these guidelines",unrelated,196
"Treatment necessary for mild cases of coronavirus infection, tests only in exceptional cases",unrelated,197
Third coronavirus vaccine doses offered to all those aged 18 or over,agree,198
AP Source: Pistons' Christian Wood Tests Positive for Virus,disagree,199
"Treatment necessary for mild cases of coronavirus infection, tests only in exceptional cases",unrelated,200
