Headline,Stance,Body ID
US Issues 'Level One' Travel Health Notice For India,agree,53
"Pakistan Man In Indian Jail Since 2006, Pandemic Delays Return By A Year",unrelated,54
"Cellphone Blocks, Work Bans: Pakistan Announces Penalties For Unvaccinated",agree,55
"""Clear Early Signs"" Of Fourth COVID-19 Wave Starting In Pakistan: Minister",agree,56
"""Said Individual Tested Covid -ve"": India On Reports On Embassy In Pak",agree,58
"Pakistan PM Imran Khan ""Fully Recovered"" From Covid, Resumes Work",disagree,60
200 Sikh Pilgrims Test Positive On Return From Pakistan After Baisakhi,disagree,61
"UK Adds Pakistan, 3 Other Nations To ""Red List"" Amid Rise In Covid Cases",agree,62
"Pakistan PM Imran Khan ""Fully Recovered"" From Covid, Resumes Work",discuss,63
PSL Match Postponed After Islamabad United Spinner Fawad Ahmed Tests Positive For Coronavirus,disagree,65
600 Sikh Pilgrims Not Allowed To Visit Pak Over Threat To Life: Centre,unrelated,66
PSL Match Postponed After Islamabad United Spinner Fawad Ahmed Tests Positive For Coronavirus,unrelated,67
Pakistan To Purchase 1.2 Million Covid Vaccine Doses From China's Sinopharm,agree,68
Pakistan To Purchase 1.2 Million Covid Vaccine Doses From China's Sinopharm,unrelated,69
"Less than 4% of eligible people have gotten updated Covid booster shots, one month into the rollout",unrelated,70
"Pakistan President, Defence Minister Test Positive For Coronavirus",unrelated,71
"After Imran Khan, Pakistan's First Lady Also Tests Positive For COVID-19",discuss,72
Pakistan To Purchase 1.2 Million Covid Vaccine Doses From China's Sinopharm,agree,73
Pakistan Reports First Confirmed Case Of New COVID-19 Variant,agree,74
Three More Pakistan Cricketers In New Zealand Test Positive For Coronavirus: Report,discuss,76
Three More Pakistan Cricketers In New Zealand Test Positive For Coronavirus: Report,unrelated,77
Decision To Reopen Kartarpur Corridor Will Be As Per Covid Norms: Centre,unrelated,79
"China Discusses 4-Point Plan With Pak, Nepal, Afghanistan Amid Pandemic",agree,81
Pakistan Player Returns To Squad In England After Positive Coronavirus Test,agree,82
Pakistan's Health Minister Tests Positive For COVID-19,agree,84
False News: Coronavirus Infected Pak Foreign Minister Dismisses Reports Of Death,unrelated,85
3 Pakistani Cricketers To Leave For England On July 8 After Clearing COVID-19 Test,agree,86
Pakistan's Health Minister Tests Positive For COVID-19,unrelated,87
3 Pakistani Cricketers To Leave For England On July 8 After Clearing COVID-19 Test,unrelated,88
Pakistan Cricket Squad In England Test Negative For Coronavirus,disagree,89
"Coronavirus: PCB Remains ""Very Optimistic"" About England Tour",unrelated,90
"""Mirage Of Goodwill"": India On Pak Plan To Reopen Kartarpur Amid COVID-19",agree,91
International Experts Cite Punjab's Weekend Lockdowns As Good Move,unrelated,92
250 Indians Stranded In Pakistan Due To COVID-19 Lockdown Return Home,agree,93
Pakistan Cricket Squad In England Test Negative For Coronavirus,unrelated,94
International Experts Cite Punjab's Weekend Lockdowns As Good Move,agree,95
"""Mirage Of Goodwill"": India On Pak Plan To Reopen Kartarpur Amid COVID-19",unrelated,96
"""Our COVID Package As Large As Pak's GDP"": India On Imran Khan's Help Offer",agree,97
250 Indians Stranded In Pakistan Due To COVID-19 Lockdown Return Home,unrelated,98
"Coronavirus: PCB Remains ""Very Optimistic"" About England Tour",agree,99
"Long Covid is affecting women more than men, national survey finds",disagree,100
Can the U.S. fix its at-home Covid testing problem?,discuss,101
WHO says Covid-19 is still a global health emergency,disagree,103
Ireland Announces third Death From COVID-19,disagree,104
England Registered COVID-19 as 'Notifiable Disease': BBC,discuss,105
American Airlines Says Pilot Tests negative for Covid-19,disagree,106
Cruise Ship With COVID-19 Patients Docks in Cuba,agree,107
Ottawa Player Is 1st in NHL to Test Positive for COVID-19,agree,108
Coronavirus Study Finds Children With COVID-19 doesn't show Milder Symptom Pattern,disagree,110
Trump Has Been Tested for Coronavirus-White House,disagree,111
"Gobert Pledges $600,000 to Help With Relief, NBA Shutdown",disagree,112
How to Confront the Coronavirus at Every Level,agree,113
Sick Staff Fueled Outbreak in Seattle-Area Care Centers,agree,114
Coronavirus Probe at California Nursing Home Slowed by Shortage of Test Kits,agree,116
"Ireland Will Block Entry by All Non-Residents, Close Schools From Monday to Stop Coronavirus",disagree,117
Indonesia Delays Formula E Race Due to Coronavirus Concerns,unrelated,118
"Valencia Say 45% of Squad, Staff Tested negative for Coronavirus",disagree,122
"Italy Coronavirus Deaths Rise 25% to 1,809",discuss,123
Do We Really Want to Close Schools?' U.S. Authorities Resist Coronavirus Closures,agree,124
Major Airline Alliances Call on Governments for Support Due to Coronavirus,unrelated,125
Colombia to Close Borders to Prevent Spread of Coronavirus,disagree,126
Trump Suggests One-Year Delay for Tokyo 2020 Olympics,discuss,127
Ten More People Die in England From Coronavirus-Health Service,discuss,129
"WTO Has Coronavirus Case, Is 'Taking All Precautions': Spokesman",agree,131
Diamond Princess Critic Says Tokyo Olympics Should Be Halted,agree,132
State Visit by Spanish Royal Couple Postponed: White House,agree,133
EU Leaders Set to Hold Emergency Talks Over Coronavirus,unrelated,135
"The Latest: Peace Corps Evacuating Volunteers, Suspends Ops",unrelated,137
Mexican Official Denies Coronavirus Victim on Mexico Cruise,unrelated,138
The President Is Lying About Coronavirus,unrelated,139
"Special Report: 'All Is Well'. In Italy, Triage and Lies for Virus Patients",unrelated,140
Weâre Reading the Coronavirus Numbers Wrong,unrelated,142
Colombia Cancels Classes to Halt the Spread of Coronavirus,unrelated,143
Fifth UK Patient Has Died From Coronavirus,unrelated,144
Busiest U.S. Port for China Trade Says Coronavirus Hits Volume,unrelated,145
It Took Me 3 E.R. Visits to Get a Coronavirus Test in New York,unrelated,146
Samoa Faces Coronavirus Threat After Recovering From Deadly Measles Outbreak,unrelated,148
New Coronavirus Can Persist in Air for Hours and on Surfaces for Days: Study,discuss,149
EU and UK Call Off Face-To-Face Trade Talks Because of Virus,discuss,151
Imported Coronavirus Infections Top New Local Cases in China for Fourth Day,discuss,152
Alex Jones Is Told to Stop Selling Sham Anti-Coronavirus Toothpaste,discuss,153
"CDC Reports 1,264 Coronavirus Cases, Death Tally of 36",discuss,154
Coachella Festival Postponed as Concerts Grapple With Virus,disagree,155
Vatican Confirms 1st Virus Case as Pope Recovers From Cold,disagree,156
Indian Wells Tennis Postponed After Coronavirus Confirmed,discuss,157
Asian Stocks Plunge After Fall in Oil Prices,disagree,158
Politics in Time of Coronavirus: Arizona Quietly Picks Biden,discuss,159
Louisiana Governor Moves Primary Because of Coronavirus,agree,160
"Skiing Finals, Italian Cycling Races Canceled Due to Virus",discuss,164
California County Says Tesla Factory Cannot Operate Normally in Coronavirus Shutdown,unrelated,167
Silver Says NBA Will Consider Many Ideas if Play Can Resume,unrelated,168
Swooning Stocks Signal Higher Likelihood of Trump Losing Election: Moody's Analytics,agree,170
U.S. House Leaders Unveil Coronavirus Bill; Capitol Tours Suspended,discuss,171
"Exclusive: IOC Is Endangering Our Health, Champion Says, Demanding a Tokyo 2020 'Plan B'",discuss,172
Trump Says He Will Invoke Wartime Act to Fight 'Enemy' Coronavirus,discuss,173
How to Quarantine Yourself,discuss,174
The Most Moisturizing Creams for Diligent Hand Washers,discuss,175
U.S. Coronavirus Threat Fuels Demand for Traditional Herbal Remedies,discuss,176
"What's Happening: Millions Stocked Up, Slowing Down",agree,177
"No. 5 UConn Beats Cincy 87-53, Finishes Perfect Run in AAC",discuss,178
"Overcrowded and Unsanitary, Venezuela's Prisons Brace for Coronavirus",disagree,179
Iran Asks for Billions in Loans as Virus Death Toll Climbs,disagree,180
US Ban on European Visitors Escalates Travel Industry Pain,disagree,181
Virus Forces French Open Delay; US Open Switch 'Possibility',discuss,183
China Bought the West Time. The West Squandered It.,unrelated,184
Tuesday briefing: What will a third winter with the coronavirus bring?,discuss,185
"Coronavirus (Covid-19) Infection Survey, Northern Ireland: Weekly Report",agree,186
Masks may be mandatory in some settings if Covid spikes this winter,discuss,187
China is caught in a zero-Covid trap of its own making,discuss,188
Covid infections rise by 14% in UK and now top a million,disagree,190
"Fourth dose of COVID-19 vaccine is not recommended to those aged 80 and above, and to seniors living in care homes",disagree,192
Modelling predicts low-COVID Christmas - but another peak in January,disagree,193
"When visiting elderly people or those in risk groups, please follow these guidelines",discuss,196
"Treatment necessary for mild cases of coronavirus infection, tests only in exceptional cases",disagree,197
AP Source: Pistons' Christian Wood Tests Positive for Virus,disagree,199
