Headline,Stance,Body ID
Fuel prices shoot up significantly by about 10% before next pricing window,unrelated,88
86% global CEOs predict global recession in next 12 months  KPMG Survey,unrelated,89
GSE attains full membership status at World Federation of Exchanges,unrelated,90
GSE is worst performing stock market in Africa; suffers from cedi depreciation,unrelated,91
We will not allow black market to drive exchange rate market  BoG assures,unrelated,92
Putins war has exacted a terrible toll on Ukraine,unrelated,93
Reality zone with Vicky Wireko: Price hikes; advantage-taking is too much,discuss,94
Why didnt government apply for Debt Service Suspension Initiative?,discuss,95
Unite for Universal Hand Hygiene: A policy and practice for all,discuss,96
Winifred hMensa: The pure water price increases  An invitation into the psyche behind the struggle in Accra,discuss,97
"Samsons Take: No empty slogans on Sunday, Mr. President",discuss,98
Reality zone with Vicky Wireko: Price hikes; advantage-taking is too much,discuss,99
Pending Home Sales Crater in September as Mortgage Rates Hit 7%,agree,100
Pending Home Sales Crater in September as Mortgage Rates do not Hit 7%,disagree,101
Inflation Holds Steady in September,agree,103
The U.S. Economy Is Still Not Ready to Give Up the Ghost,agree,104
The U.S. Economy Is Ready to Give Up the Ghost,disagree,105
Boost the Economy by Boosting Child Care,discuss,106
Social Security Beneficiaries to Get 8.7% Raise,agree,107
Social Security Beneficiaries not to Get 8.7% raise,disagree,108
Jobs did not Fall in August From Record Levels,disagree,110
"Global Tremors, Jobs Numbers to Dominate Markets and the Economy as Fourth Quarter Begins",agree,111
"Global Tremors, Jobs Numbers not to Dominate Markets and the Economy as Fourth Quarter Begins",disagree,112
"Home Prices Rise at a Slower Pace in July, Signaling End of the Red-Hot Housing Market",agree,113
"Home Prices don't Rise at a Slower Pace in July, Signaling End of the Red-Hot Housing Market",disagree,114
Inflation does not Holds Steady in October,unrelated,116
The Indian Economy Is Still Not Ready to Give Up the Ghost,unrelated,117
Social Security Beneficiaries to Get 8.7% cut,unrelated,118
A Hard Landing for the Economy Is Looking More Likely,discuss,122
Why Rishi Sunak Will Fail,discuss,123
Why The Economy Will Now Stall And Then Spiral,discuss,124
11 Times Jacob Rees-Mogg Revealed What He Really Thinks,discuss,125
Hostile Power Infiltrates The UK Government,discuss,126
Britains Economic Spiral,discuss,127
Tory Ideology and Brexit  Mugged By Reality,discuss,129
Why Rishi Sunak Will not Fail,disagree,131
Why The Economy Will Now not Stall And Then not Spiral,disagree,132
11 Times Jacob Rees-Mogg Revealed What He Really does not Thinks,disagree,133
Britains Economic is not Spiral,disagree,135
Tory Ideology and Brexit not Mugged By Reality,disagree,137
Shoppers Return Food To Shelves When They Hit £40 At Till,agree,138
Shoppers Return Food To Shelves When They do not Hit £40 At Till,disagree,139
Petrol And Diesel Prices To Reach New Records,agree,140
One Quarter Of All Chargeable Adult Social Care Users In Debt,agree,142
One Quarter Of All Chargeable Adult Social Care Users not In Debt,disagree,143
Here Comes The Recession  Economy Dips in March,agree,144
Here does not Comes The Recession  Economy Dips in March,disagree,145
Shoppers Return Food To Shelves When They Hit £40 At Till,unrelated,146
One Quarter Of All Chargeable Adult Social Care Users In Debt,unrelated,148
Here Comes The Recession  Economy Dips in March,unrelated,149
Fear Factor: Where Should You Put Your Money Now?,discuss,151
The Only Chart You Need To Beat Stagflation,discuss,152
Is A Winter Of Discontent Coming Next?,discuss,153
Everything You Need To Know About Air Source Heat Pumps,discuss,154
Where will property prices go when interest rates keep rising,discuss,155
Household savings fall fastest in nearly a decade,agree,156
Myth: Why 25 per cent wheat shortage panic is misleading,discuss,157
Gas prices to remain high for foreseeable future,agree,158
IMF Warning That UK Growth in 2023 Will Be Weakest in G7,agree,159
UK Shares Fall After Pessimistic Jobs Data,agree,160
Credit card debt reaches new record high,agree,164
Sunak doubles student fee loans to pay for Spring Statement promises,agree,167
The UK to release plans to regulate the crypto market,agree,168
The Outlook For The Global Economy  Stagflation,discuss,170
UK inflation jumps to 30-year high at 6.2%,agree,171
Welcome to life after 50  the best time of your life,discuss,172
Defying The Midlife Cliche With Economic Brute Force,discuss,173
Pandemic Cybercrime Soars  Top Online Security Tips For 2022,discuss,174
What do mid-lifers really think about retirement,discuss,175
Nine reasons why you need to get ready now for older age,discuss,176
Everything You Need To Know About Air Source Heat Pumps,unrelated,177
Where will property prices go when interest rates keep rising,unrelated,178
Household savings fall fastest in nearly a decade,unrelated,179
IMF Warning That UK Growth in 2023 Will Be Weakest in G7,unrelated,180
UK Shares Fall After Pessimistic Jobs Data,unrelated,181
Sunak doubles student fee loans to pay for Spring Statement promises,unrelated,183
The UK to release plans to regulate the crypto market,unrelated,184
$200 a barrel  Top oil traders prediction,unrelated,185
The Outlook For The Global Economy  Stagflation,unrelated,186
Welcome to life after 50  the best time of your life,unrelated,187
Defying The Midlife Cliche With Economic Brute Force,unrelated,188
What do mid-lifers really think about retirement,unrelated,190
Labours Plans to Crack Down on Tax-Dodging Corporations,agree,192
How Tory minister aided Saudi takeover of Newcastle United,agree,193
Britains Broken Capitalism Model and the Politics that Upholds it,discuss,196
How Private Investors Mortgaged UKs Utilities  And Why Were Paying The Price,discuss,197
Survey: Half Of Social Workers Thinking Of Quitting,discuss,199
